log10_accretion_rate abundances-ratio HeH-ratio
-9.694182278094592320e+00 -5.850286197840377511e-01 -3.170905645355578395e-01
-9.661674359138020307e+00 -5.678664075253383459e-01 1.498825002190008748e-02
-9.703724806234086842e+00 -5.013227811281364410e-01 8.726181810621841395e-02
-9.681305809257887418e+00 -5.820124306045570961e-01 -4.250771334223235609e-01
-9.633471589039571015e+00 -6.348545070722835248e-01 5.167634272390703165e-02
-9.696532488072238110e+00 -7.152663764637350319e-01 5.545622165195321362e-02
-9.623958505312081968e+00 -6.041441263168105813e-01 2.318794018340469831e-02
-9.687810114903475878e+00 -4.458213677363147553e-01 -5.105631030910608159e-02
-9.610216003170933163e+00 -6.193309787187106785e-01 -2.346007163813410012e-01
-9.680268901368972223e+00 -5.468744086370165292e-01 -2.051026486710478269e-01
-9.693627125434698399e+00 -6.267979376649446266e-01 -6.277607113754224422e-02
-9.686168653283955265e+00 -4.285004339036362353e-01 1.785601698444934382e-01
-9.657078176224256794e+00 -6.703019305838502362e-01 -4.591549805588309163e-01
-9.689886884864955974e+00 -5.786911845991369319e-01 -6.832810564660785069e-02
-9.644986338249866620e+00 -6.696381409662262030e-01 -1.305810550860177222e-02
-9.604473895392464655e+00 -5.817316502667591038e-01 4.917625547572933298e-02
-9.671358600199985389e+00 -3.692468786536888814e-01 7.087715483428244645e-02
-9.540767636400749652e+00 -5.705836019634125122e-01 7.301276851623497710e-02
-9.632933350975724451e+00 -6.931393918972421631e-01 4.347049417898832951e-02
-9.706603379316632640e+00 -7.019312492275888715e-01 1.496633924830937934e-01
-9.629263280539271719e+00 -5.338052466729030776e-01 8.366512809322435018e-02
-9.607027227788337953e+00 -4.106373797697919770e-01 -8.442508412892904546e-02
-9.670160322051186697e+00 -5.486130977167960054e-01 2.505339344383520905e-01
-9.678154456391775184e+00 -5.080308731221263585e-01 -1.037454148504196594e-02
-9.693625579409705040e+00 -3.144237687419657590e-01 3.133259566589345624e-02
-9.654836093157969756e+00 -5.444012885262665691e-01 -4.122444859058291278e-02
-9.663196909062055084e+00 -4.910792411354725218e-01 9.860434238871573775e-02
-9.675355846470075960e+00 -5.164908171416549010e-01 -7.891611082034089009e-02
-9.639063360924788881e+00 -5.680374270897261546e-01 -4.716596461618927094e-03
-9.597474096668104693e+00 -4.429196934258712304e-01 -5.171891336053738297e-03
-9.694754785163551603e+00 -3.123215811918100826e-01 2.040654028248755497e-02
-9.724646475475230645e+00 -4.122428235090964677e-01 -1.941414401005801815e-02
-9.650044507730203946e+00 -5.518136412871883500e-01 -6.819955533004198878e-02
-9.656957676051806772e+00 -4.809118734360495750e-01 5.065312675050381852e-02
-9.674814594936155032e+00 -5.588876297998917053e-01 2.286223208455313016e-01
